number,population,under15-man
1,220189,11265
1,278781,17490
1,255873,15903
1,204259,11961
1,212118,11929
1,146341,7878
1,211229,12657
1,128492,7742
1,139644,8930
1,116619,8174
1,279127,15775
1,131928,6611
1,347095,20544
1,94535,5295
1,181169,11045
1,168057,10985
1,125689,7813
1,10922,363
1,90145,5251
1,40998,2656
1,24457,1394
1,173320,11930
1,39595,2407
1,26034,1344
1,16628,724
1,123722,7566
1,12637,539
1,24750,1472
1,21787,1331
1,30591,1897
1,10221,388
1,29201,1838
1,93604,7192
1,43170,2724
1,19056,1098
1,4387,167
1,23709,1159
1,24259,1554
1,51526,3110
1,69384,4909
1,36278,2195
1,60353,4117
1,59449,4091
1,48032,3663
1,18766,1066
1,3515,214
1,8748,393
1,5114,219
1,5074,329
1,5341,232
1,28463,1844
1,4767,267
1,17859,1149
1,18896,1200
1,6386,291
1,9004,536
1,5428,312
1,4409,255
1,4408,231
1,3033,154
1,6186,333
1,9590,532
1,1781,101
1,3443,187
1,3250,204
1,5292,329
1,4823,310
1,2189,117
1,2034,131
1,2490,123
1,3811,229
1,15568,1097
1,6428,416
1,14451,849
1,1883,139
1,1122,54
1,2516,115
1,3611,141
1,3800,220
1,21258,1258
1,1262,79
1,8778,536
1,6194,352
1,4086,171
1,5896,320
1,11691,682
1,13340,734
1,4859,166
1,2206,128
1,7249,415
1,3462,185
1,2730,130
1,3049,181
1,2193,99
1,3612,174
1,7345,603
1,9292,782
1,7087,406
1,4042,191
1,3328,177
1,4532,210
1,7859,524
1,10956,663
1,11545,824
1,5477,404
1,2814,179
1,1394,60
1,3832,208
1,3565,216
1,3775,194
1,5178,281
1,995,17
1,1907,88
1,1710,89
1,5078,266
1,3717,193
1,3656,206
1,7964,426
1,1369,86
1,3084,202
1,3780,241
1,2825,202
1,4168,262
1,1974,106
1,9125,593
1,4378,274
1,3078,165
1,2590,115
1,3037,183
1,2677,184
1,21575,1394
1,5646,320
1,13045,814
1,4551,292
1,5358,319
1,5435,333
1,3428,184
1,5892,326
1,22265,1448
1,10041,643
1,3028,151
1,4301,292
1,1135,57
1,4939,276
1,7933,564
1,4528,222
1,3232,188
1,19376,993
1,4890,274
1,10132,535
1,8726,536
1,9746,546
1,13615,863
1,5596,367
1,5775,385
1,14389,938
1,5114,302
1,5413,389
1,25419,1658
1,45085,3741
1,6416,450
1,5080,307
1,5702,432
1,6653,368
1,9961,604
1,18905,1556
1,4006,249
1,3391,256
1,5977,356
1,7881,525
1,26547,1894
1,7527,394
1,3394,181
1,8275,468
1,7630,444
1,2650,133
1,5460,285
1,20526,1469
1,10630,633
1,6511,423
1,8285,530
1,8278,476
1,2627,204
1,9294,543
1,15855,1284
1,23982,1910
1,5646,406
1,5885,398
2,299520,19139
2,183473,11142
2,237615,16302
2,36132,2413
2,58421,3719
2,66110,4343
2,41258,3303
2,61066,4148
2,37243,2164
2,33764,2057
2,12361,659
2,3217,115
2,3271,180
2,7089,327
2,11449,563
2,9691,456
2,1594,80
2,16021,991
2,10978,513
2,8153,492
2,15227,880
2,14270,905
2,12743,666
2,14314,797
2,16759,981
2,10241,666
2,4881,284
2,19106,1192
2,11095,727
2,24211,1907
2,6340,462
2,7252,418
2,2463,118
2,2422,133
2,11299,671
2,18712,1028
2,6175,350
2,19853,1209
2,14699,955
2,2851,130
3,298348,19852
3,59430,3702
3,40737,2505
3,101438,6584
3,93138,6910
3,36872,2711
3,29331,1760
3,118578,7606
3,23300,1434
3,39574,2273
3,29702,1870
3,28680,1621
3,124746,8210
3,18033,1050
3,7304,335
3,14984,896
3,53857,4113
3,33288,2349
3,27205,2023
3,6602,297
3,16325,1088
3,8345,507
3,9064,506
3,6190,290
3,15276,871
3,18617,1174
3,10804,579
3,3843,229
3,3088,176
3,10209,555
3,4632,283
3,6507,360
3,17913,1169
3,14187,724
4,291436,17378
4,190473,13323
4,132306,8514
4,220588,15619
4,211183,15246
4,160826,10263
4,56490,3267
4,73489,4562
4,37422,2235
4,73134,5652
4,31336,1955
4,63060,4906
4,44187,3496
4,83969,5458
4,74932,4354
4,42903,3215
4,135147,9250
4,12882,759
4,1694,75
4,23530,1724
4,11995,758
4,39341,2573
4,9978,575
4,15501,865
4,34845,2352
4,16704,868
4,15085,827
4,20416,1493
4,33994,2789
4,24894,1900
4,8927,501
4,47042,4618
4,5334,408
4,7431,469
4,25527,1558
4,17494,1045
4,25190,1516
4,10051,542
4,17429,1116
5,323600,20156
5,59084,3400
5,98367,5818
5,78946,4625
5,32294,1422
5,50849,2925
5,34473,2053
5,85229,5039
5,34442,2252
5,88301,4966
5,36387,1778
5,27544,1688
5,29568,1589
5,6054,313
5,2727,102
5,3848,176
5,18876,915
5,8220,410
5,10516,466
5,6623,328
5,5493,303
5,3218,272
5,21674,1234
5,16792,937
5,2872,168
6,254244,17014
6,89401,5971
6,136623,9012
6,111151,7100
6,38850,2780
6,42373,3028
6,33836,1970
6,26811,1650
6,29473,1918
6,62214,4436
6,46414,3379
6,18955,1135
6,33658,2185
6,15139,942
6,12015,762
6,19959,1271
6,6270,347
6,7856,426
6,9227,559
6,8160,493
6,6365,421
6,9847,603
6,6164,357
6,9165,476
6,3762,236
6,4862,293
6,5304,289
6,25025,1746
6,17313,1000
6,8862,562
6,15314,981
6,7943,487
6,7731,526
6,23158,1497
6,15480,826
7,292590,20423
7,126220,8722
7,338712,24870
7,342249,23835
7,64704,4915
7,79267,6101
7,52356,3377
7,37817,2625
7,59871,3987
7,40422,2551
7,70878,4956
7,66027,4178
7,31489,2389
7,12853,790
7,10086,571
7,15569,902
7,8574,639
7,12815,1030
7,6291,401
7,6461,375
7,636,38
7,4932,260
7,17864,1068
7,3185,237
7,7366,356
7,3761,235
7,15805,1010
7,17360,1206
7,3364,264
7,4009,230
7,1926,71
7,2462,82
7,1500,60
7,22737,1410
7,19767,1510
7,6802,489
7,5154,413
7,18407,1323
7,15062,1212
7,6348,366
7,9884,642
7,3989,244
7,17775,1035
7,7231,512
7,6921,476
7,6888,528
7,6030,393
7,18191,1158
7,11202,702
7,5418,400
7,7700,522
7,16001,1174
7,2820,141
7,11515,902
7,6932,492
7,20905,1359
7,1531,105
7,8224,607
7,6209,406
8,268750,19280
8,193129,13231
8,143839,9767
8,142995,9618
8,79687,5122
8,52494,3524
8,80334,5650
8,44987,3288
8,65320,4549
8,56250,3193
8,31017,1968
8,47026,3082
8,79409,5308
8,109651,6465
8,81684,5571
8,214590,16687
8,157060,12334
8,66093,4609
8,30534,1943
8,62482,5276
8,45178,2765
8,54240,3714
8,108527,7360
8,56114,3880
8,46895,2739
8,43553,3001
8,45673,3013
8,94795,7573
8,37611,2215
8,50156,3094
8,44461,3026
8,52279,3688
8,34513,2238
8,18328,1105
8,21491,1262
8,37438,3224
8,20073,969
8,17299,1170
8,47940,3153
8,10172,519
8,23106,1646
8,9410,540
8,25714,1815
8,17473,862
9,511739,36624
9,154530,9903
9,139262,9076
9,121249,7843
9,102348,6985
9,90066,5392
9,164454,12024
9,82289,6347
9,77729,5031
9,35343,2398
9,117812,8674
9,44768,3319
9,29206,1725
9,59483,4519
9,31621,2726
9,6521,446
9,24348,1605
9,15018,830
9,12094,830
9,16030,1117
9,39605,2699
9,25720,1549
9,18241,1134
9,12560,774
9,30436,2208
9,26765,1606
9,18446,1057
10,340291,23595
10,371302,26689
10,121704,7319
10,207221,16216
10,216465,16879
10,51265,3488
10,78608,5729
10,83330,5210
10,67975,4638
10,52070,3506
10,61077,3848
10,51899,3895
10,14370,1103
10,19801,1615
10,1306,67
10,2352,55
10,8911,359
10,2423,53
10,13618,873
10,18216,1033
10,6017,384
10,10183,640
10,7160,385
10,3911,260
10,15622,865
10,4904,288
10,3898,235
10,7620,535
10,21345,1158
10,37536,2821
10,15706,964
10,11209,762
10,11473,804
10,40257,2878
10,27023,1834
11,84029,5626
11,138630,10146
11,108488,6271
11,157143,11067
11,96055,6776
11,96911,6521
11,144786,9942
11,174988,12840
11,110118,8622
11,111286,7287
11,342670,22773
11,203180,13465
11,500598,34448
11,85786,5556
11,66955,4493
11,341924,22375
11,83549,5072
11,115002,7457
11,81889,5257
11,90099,5529
11,237171,15195
11,155727,9491
11,56204,3687
11,119639,7734
11,144618,10180
11,223926,15939
11,243855,17115
11,326313,22963
11,71502,4014
11,123079,9645
11,149872,10215
11,60908,4376
11,129691,9189
11,69611,4830
11,80745,5841
11,158777,10993
11,74711,5049
11,154310,9690
11,68888,4514
11,82977,6057
11,106736,7390
11,131415,8812
11,63309,4172
11,101700,6833
11,54012,3184
11,69990,4936
11,57473,3939
11,65298,5332
11,105695,7537
11,42494,3956
11,38706,2822
11,39054,2202
11,12537,759
11,17323,1395
11,18887,1120
11,32913,1729
11,22147,1343
11,21079,1225
11,15305,720
11,12418,634
11,9039,637
11,10888,682
11,7908,504
11,13436,859
11,3348,175
11,11605,721
11,14470,982
11,30998,2426
11,35774,2233
11,33641,1860
11,50272,3478
11,46923,3147
11,31153,2348
12,199364,11905
12,180949,10762
12,157768,10379
12,151585,9310
12,121921,10161
12,150162,10964
12,70210,3625
12,473919,27630
12,609040,42408
12,49290,3045
12,129312,8947
12,484457,30095
12,155491,10540
12,93015,5730
12,128933,9397
12,172183,11031
12,61751,3907
12,69058,4533
12,164530,11648
12,404012,27970
12,20788,881
12,280416,18225
12,163984,11238
12,189781,14817
12,134017,8607
12,35766,2060
12,107853,7163
12,89168,5755
12,48073,2609
12,164877,13565
12,86726,6163
12,60355,4374
12,73212,4873
12,88176,6573
12,60345,4882
12,51087,3244
12,42104,2097
12,39814,2368
12,82866,4846
12,56089,3368
12,40962,2200
12,21234,1370
12,22580,1105
12,6454,395
12,16002,889
12,15154,878
12,50113,3212
12,18004,917
12,7920,459
12,24675,1583
12,12034,806
12,7340,328
12,14752,969
12,12151,632
12,8035,427
12,9073,407
12,10671,538
12,7738,330
12,8950,443
13,47115,2532
13,122762,6606
13,205131,11679
13,326309,12767
13,206626,10228
13,175928,7538
13,247606,13201
13,460819,28365
13,365302,18454
13,268330,13117
13,693373,38593
13,877138,49250
13,204492,7775
13,314750,11912
13,549569,20785
13,284678,11256
13,335544,15998
13,203296,11258
13,535824,28475
13,716124,44767
13,683426,43114
13,442586,27519
13,678967,48520
13,580053,36884
13,179668,10876
13,138734,7459
13,186083,10927
13,139339,9287
13,255506,17595
13,112297,7419
13,223593,13745
13,426987,29610
13,118852,6897
13,187035,12303
13,180052,11779
13,153557,10136
13,120650,7241
13,75510,4697
13,59796,3646
13,78751,4330
13,83068,5874
13,74104,4889
13,116546,7717
13,70053,5457
13,147648,9006
13,84835,6642
13,57032,4021
13,80868,5882
13,196511,12344
13,33497,2373
13,16650,996
13,2558,89
13,6045,233
13,8461,503
13,341,28
13,2883,170
13,1889,142
13,2676,98
13,348,35
13,8231,493
13,201,20
13,2785,226
14,272178,18120
14,233429,13669
14,94867,5007
14,146033,7791
14,196153,10989
14,206634,12785
14,163237,9910
14,209274,13669
14,329471,20705
14,274324,20180
14,221411,14548
14,251086,16323
14,177631,13155
14,126913,9413
14,124866,8557
14,155698,11131
14,304297,23735
14,201271,18895
14,217328,12911
14,154212,9836
14,233925,15351
14,217360,14998
14,213894,13202
14,218867,16820
14,169926,11886
14,176192,11859
14,266988,18950
14,274364,17388
14,418325,26596
14,260780,17607
14,174314,10627
14,409657,28912
14,198327,12932
14,235081,16602
14,58302,3617
14,48352,2581
14,170145,10831
14,224420,15784
14,228186,15433
14,101039,7096
14,127707,9335
14,129436,8805
14,44020,3130
14,83167,6088
14,32766,2300
14,47672,3402
14,33032,2062
14,29522,1813
14,10010,664
14,17972,1520
14,11676,648
14,11764,624
14,16369,1323
14,13853,582
14,8212,359
14,26848,1456
14,42089,2898
14,3459,196
15,77621,5393
15,138096,9388
15,180537,10853
15,69365,4918
15,77329,5190
15,46949,3002
15,161264,10382
15,60740,3823
15,282674,19007
15,102292,6689
15,91451,5736
15,101202,6374
15,38600,2643
15,29762,1828
15,58911,3725
15,41862,2732
15,66427,4089
15,81876,5559
15,47702,2869
15,35457,2236
15,54550,3366
15,203899,14183
15,45560,3025
15,62727,3625
15,40361,2608
15,61624,4298
15,31424,1936
15,13724,1091
15,8582,568
15,12791,766
15,13303,683
15,4907,245
15,8396,461
15,10881,615
15,4800,310
15,6438,362
15,366,13
16,421953,28673
16,176061,11191
16,44959,2938
16,51726,2993
16,33676,2515
16,41852,2924
16,49410,3723
16,32067,1876
16,54724,3305
16,93588,6772
16,2967,327
16,21965,1349
16,27466,1919
16,27182,1651
16,13651,696
17,462361,31694
17,57900,3511
17,108433,8096
17,29858,1450
17,16300,770
17,71887,4517
17,23032,1344
17,34651,2595
17,110459,8652
17,48680,4191
17,6147,667
17,51885,3869
17,36940,3105
17,26927,2048
17,22216,1191
17,14277,881
17,18535,1264
17,9735,440
17,19565,928
18,266796,18617
18,67760,5076
18,31340,2258
18,35291,2204
18,25466,1493
18,67450,5362
18,29989,1888
18,85614,6282
18,91900,7289
18,20647,1418
18,3046,129
18,11551,783
18,23160,1584
18,10563,625
18,11062,818
18,8580,595
18,16099,1076
19,198992,13106
19,50619,3639
19,33588,2167
19,36832,2544
19,28120,1494
19,32477,2335
19,72635,5803
19,46968,2730
19,73807,5764
19,70529,5184
19,27114,1534
19,33927,2310
19,31322,2423
19,17111,1043
19,1246,48
19,14462,643
19,9011,463
19,16307,1071
19,17653,1523
19,1919,117
19,4541,341
19,8635,730
19,5324,375
19,2964,215
19,25471,1901
19,816,29
19,685,20
20,381511,27444
20,243037,17738
20,159597,11175
20,52841,3729
20,105335,7459
20,51200,3702
20,52168,3692
20,43997,3025
20,71093,5224
20,33693,2506
20,45638,3310
20,29801,1927
20,23545,1530
20,56391,4248
20,67670,4827
20,100552,7459
20,62068,4307
20,30696,2256
20,96479,6908
20,5180,300
20,4972,330
20,3528,220
20,1121,70
20,842,39
20,12069,748
20,19018,1257
20,14738,1169
20,7707,473
20,4609,283
20,6780,395
20,21532,1377
20,15338,965
20,7573,496
20,20909,1381
20,26214,1979
20,9902,606
20,14543,1226
20,5074,338
20,8974,764
20,13676,958
20,13216,1098
20,5455,290
20,7036,511
20,563,34
20,1129,51
20,4200,347
20,656,39
20,1657,48
20,1910,116
20,6692,512
20,6819,503
20,1160,40
20,5245,307
20,4810,262
20,3134,164
20,965,49
20,4145,252
20,12743,739
20,2970,151
20,1953,90
20,8425,671
20,4741,339
20,5172,277
20,10329,623
20,10093,684
20,9205,590
20,3221,198
20,15730,1033
20,11072,789
20,7563,519
20,13678,778
20,4939,311
20,3853,219
20,9238,516
20,3041,163
20,11865,668
20,2215,100
21,413136,28428
21,161160,11495
